task_id,annotator_id,task,ground_truth,answer
0,0,"the cast is phenomenal , especially the women . ",0,0
1,0,"the metaphors are provocative , but too often , the viewer is left puzzled by the mechanics of the delivery . ",1,1
2,0,"while there's something intrinsically funny about sir anthony hopkins saying 'get in the car , bitch , ' this jerry bruckheimer production has little else to offer",1,0
3,0,a harrowing account of a psychological breakdown . ,0,1
4,0," . . . a visually seductive , unrepentantly trashy take on rice's second installment of her vampire chronicles . ",0,0
0,1,"the cast is phenomenal , especially the women . ",0,0
1,1,"the metaphors are provocative , but too often , the viewer is left puzzled by the mechanics of the delivery . ",1,1
2,1,"while there's something intrinsically funny about sir anthony hopkins saying 'get in the car , bitch , ' this jerry bruckheimer production has little else to offer",1,1
3,1,a harrowing account of a psychological breakdown . ,0,0
4,1," . . . a visually seductive , unrepentantly trashy take on rice's second installment of her vampire chronicles . ",0,1
0,2,"the cast is phenomenal , especially the women . ",0,0
1,2,"the metaphors are provocative , but too often , the viewer is left puzzled by the mechanics of the delivery . ",1,1
2,2,"while there's something intrinsically funny about sir anthony hopkins saying 'get in the car , bitch , ' this jerry bruckheimer production has little else to offer",1,0
3,2,a harrowing account of a psychological breakdown . ,0,0
4,2," . . . a visually seductive , unrepentantly trashy take on rice's second installment of her vampire chronicles . ",0,0
0,3,"the cast is phenomenal , especially the women . ",0,0
1,3,"the metaphors are provocative , but too often , the viewer is left puzzled by the mechanics of the delivery . ",1,1
2,3,"while there's something intrinsically funny about sir anthony hopkins saying 'get in the car , bitch , ' this jerry bruckheimer production has little else to offer",1,1
4,3," . . . a visually seductive , unrepentantly trashy take on rice's second installment of her vampire chronicles . ",0,0
0,4,"the cast is phenomenal , especially the women . ",0,0
1,4,"the metaphors are provocative , but too often , the viewer is left puzzled by the mechanics of the delivery . ",1,1
2,4,"while there's something intrinsically funny about sir anthony hopkins saying 'get in the car , bitch , ' this jerry bruckheimer production has little else to offer",1,1
3,4,a harrowing account of a psychological breakdown . ,0,0
4,4," . . . a visually seductive , unrepentantly trashy take on rice's second installment of her vampire chronicles . ",0,1
5,1,"aaliyah rarely dampens her diva persona enough to spark genuine chemistry with townsend . when she speaks , her creepy egyptian demigod voice is as computer processed and overproduced as it was in her music . ",1,1
6,1,one of those joyous films that leaps over national boundaries and celebrates universal human nature . ,0,0
7,1,"think the lion king redone for horses , with fewer deliberate laughs , more inadvertent ones and stunningly trite songs by bryan adams , the world's most generic rock star . ",1,1
8,1,"a waterlogged version of 'fatal attraction' for the teeny-bopper set . . . a sad , soggy potboiler that wastes the talents of its attractive young leads . ",1,1
9,1,"the star who helped give a spark to  chasing amy  and  changing lanes  falls flat as thinking man cia agent jack ryan in this summer's new action film ,  the sum of all fears .  ",1,1
5,5,"aaliyah rarely dampens her diva persona enough to spark genuine chemistry with townsend . when she speaks , her creepy egyptian demigod voice is as computer processed and overproduced as it was in her music . ",1,0
6,5,one of those joyous films that leaps over national boundaries and celebrates universal human nature . ,0,0
7,5,"think the lion king redone for horses , with fewer deliberate laughs , more inadvertent ones and stunningly trite songs by bryan adams , the world's most generic rock star . ",1,0
8,5,"a waterlogged version of 'fatal attraction' for the teeny-bopper set . . . a sad , soggy potboiler that wastes the talents of its attractive young leads . ",1,0
9,5,"the star who helped give a spark to  chasing amy  and  changing lanes  falls flat as thinking man cia agent jack ryan in this summer's new action film ,  the sum of all fears .  ",1,0
5,4,"aaliyah rarely dampens her diva persona enough to spark genuine chemistry with townsend . when she speaks , her creepy egyptian demigod voice is as computer processed and overproduced as it was in her music . ",1,1
6,4,one of those joyous films that leaps over national boundaries and celebrates universal human nature . ,0,0
7,4,"think the lion king redone for horses , with fewer deliberate laughs , more inadvertent ones and stunningly trite songs by bryan adams , the world's most generic rock star . ",1,1
8,4,"a waterlogged version of 'fatal attraction' for the teeny-bopper set . . . a sad , soggy potboiler that wastes the talents of its attractive young leads . ",1,1
9,4,"the star who helped give a spark to  chasing amy  and  changing lanes  falls flat as thinking man cia agent jack ryan in this summer's new action film ,  the sum of all fears .  ",1,1
5,3,"aaliyah rarely dampens her diva persona enough to spark genuine chemistry with townsend . when she speaks , her creepy egyptian demigod voice is as computer processed and overproduced as it was in her music . ",1,1
6,3,one of those joyous films that leaps over national boundaries and celebrates universal human nature . ,0,0
7,3,"think the lion king redone for horses , with fewer deliberate laughs , more inadvertent ones and stunningly trite songs by bryan adams , the world's most generic rock star . ",1,1
8,3,"a waterlogged version of 'fatal attraction' for the teeny-bopper set . . . a sad , soggy potboiler that wastes the talents of its attractive young leads . ",1,1
9,3,"the star who helped give a spark to  chasing amy  and  changing lanes  falls flat as thinking man cia agent jack ryan in this summer's new action film ,  the sum of all fears .  ",1,1
5,6,"aaliyah rarely dampens her diva persona enough to spark genuine chemistry with townsend . when she speaks , her creepy egyptian demigod voice is as computer processed and overproduced as it was in her music . ",1,1
6,6,one of those joyous films that leaps over national boundaries and celebrates universal human nature . ,0,0
7,6,"think the lion king redone for horses , with fewer deliberate laughs , more inadvertent ones and stunningly trite songs by bryan adams , the world's most generic rock star . ",1,1
8,6,"a waterlogged version of 'fatal attraction' for the teeny-bopper set . . . a sad , soggy potboiler that wastes the talents of its attractive young leads . ",1,1
9,6,"the star who helped give a spark to  chasing amy  and  changing lanes  falls flat as thinking man cia agent jack ryan in this summer's new action film ,  the sum of all fears .  ",1,1
